2	4687242	Increase from baseline in the mean VO2 max after 8 weeks	There was a greater increase from baseline (P < 0.0001) in the mean VO2 max with KSM-66 Ashwagandha (n = 24) compared to placebo (n = 25) at 8 weeks (4.91 and 1.42, respectively) and at 12 weeks (5.67 and 1.86 respectively).
2	4687242	Quality of Life scores at 12 weeks	The quality of life scores for all subdomains significantly improved to a greater extent in the Ashwagandha group at 12 weeks compared to placebo (P < 0.05).  
1	4520847	increase in IL-6 levels	The changes in serum IL-6 after surgery did not correlate with the value of intra-abdominal pressure.  
2	3898240	Serum Lutein	In the ≥6- vs. 1-portion post-intervention comparisons, carotenoids increased in serum, HDL2 and particularly HDL3, (α-carotene, p = 0.008; β-cryptoxanthin, p = 0.042; lutein, p = 0.012; lycopene, p = 0.016), as did the activities of paraoxonase-1 and lecithin cholesterol acyltransferase in HDL3 (p = 0.006 and 0.044, respectively).  
2	3898240	High density lipoproteins 3 Lecithin–cholesterol acyltransferase	In the ≥6- vs. 1-portion post-intervention comparisons, carotenoids increased in serum, HDL2 and particularly HDL3, (α-carotene, p = 0.008; β-cryptoxanthin, p = 0.042; lutein, p = 0.012; lycopene, p = 0.016), as did the activities of paraoxonase-1 and lecithin cholesterol acyltransferase in HDL3 (p = 0.006 and 0.044, respectively).  
2	3898240	Serum α-carotene	In the ≥6- vs. 1-portion post-intervention comparisons, carotenoids increased in serum, HDL2 and particularly HDL3, (α-carotene, p = 0.008; β-cryptoxanthin, p = 0.042; lutein, p = 0.012; lycopene, p = 0.016), as did the activities of paraoxonase-1 and lecithin cholesterol acyltransferase in HDL3 (p = 0.006 and 0.044, respectively).  
2	3898240	Serum β-cryptoxanthin	In the ≥6- vs. 1-portion post-intervention comparisons, carotenoids increased in serum, HDL2 and particularly HDL3, (α-carotene, p = 0.008; β-cryptoxanthin, p = 0.042; lutein, p = 0.012; lycopene, p = 0.016), as did the activities of paraoxonase-1 and lecithin cholesterol acyltransferase in HDL3 (p = 0.006 and 0.044, respectively).  
2	3898240	High density lipoproteins 3 Lycopene	In the ≥6- vs. 1-portion post-intervention comparisons, carotenoids increased in serum, HDL2 and particularly HDL3, (α-carotene, p = 0.008; β-cryptoxanthin, p = 0.042; lutein, p = 0.012; lycopene, p = 0.016), as did the activities of paraoxonase-1 and lecithin cholesterol acyltransferase in HDL3 (p = 0.006 and 0.044, respectively).  
2	3898240	High density lipoproteins 3 Paraoxonase 1	In the ≥6- vs. 1-portion post-intervention comparisons, carotenoids increased in serum, HDL2 and particularly HDL3, (α-carotene, p = 0.008; β-cryptoxanthin, p = 0.042; lutein, p = 0.012; lycopene, p = 0.016), as did the activities of paraoxonase-1 and lecithin cholesterol acyltransferase in HDL3 (p = 0.006 and 0.044, respectively).  
1	2464595	overall complications	Major and minor complications were similar in the two groups.  
1	2464595	the time to drain removal	Thirty patients were then randomized; the median time to drain removal in the control group (n = 14) was 30 days (range, 13–74) compared to 29 days (range, 11–45) in the fibrin sealant group (n = 16; P = 0.6).
1	4627811	maximal oxygen uptake	Training improved maximal workload, peak oxygen uptake (VO2peak) related to the predicted VO2peak, oxygen uptake at the anaerobic threshold, and maximal oxygen pulse (all P<0.05), whilst no differences were present between high-intensity interval training and continuous training (N.S.).
