0	1968611	978	996	general toxicities	There were no significant differences in general toxicities between the two arms, except for more severe alopecia in the verapamil treatment group (P = 0.045).
0	1968611	1042	1050	alopecia	There were no significant differences in general toxicities between the two arms, except for more severe alopecia in the verapamil treatment group (P = 0.045).
0	1968611	1136	1177	cardiovascular or haematological toxicity	There was no significant difference in cardiovascular or haematological toxicity, although the median nadir white cell count after Cycle 1 chemotherapy was lower in the verapamil arm (P = 0.065) and there were significantly more dose reductions after Cycle 1 in the verapamil arm (P = 0.031).
0	1968611	1192	1221	median nadir white cell count	There was no significant difference in cardiovascular or haematological toxicity, although the median nadir white cell count after Cycle 1 chemotherapy was lower in the verapamil arm (P = 0.065) and there were significantly more dose reductions after Cycle 1 in the verapamil arm (P = 0.031).
0	1968611	1434	1442	response	No statistically significant differences in response (P = 0.582) or survival (P = 0.290) data were seen.
0	1968611	1458	1466	survival	No statistically significant differences in response (P = 0.582) or survival (P = 0.290) data were seen.
0	3692032	1189	1237	measure no statistically significant improvement	For the primary outcome measure no statistically significant improvement was observed for combined subthalamic nucleus and substantia nigra pars reticulata stimulation at the ‘3-week follow-up’.
0	3692032	1716	1747	neuropsychiatric adverse effect	The combined stimulation of subthalamic nucleus and substantia nigra pars reticulata was safe, and of note, no clinically relevant neuropsychiatric adverse effect was observed.
0	3692032	1862	1904	no ‘global’ effect on axial motor domains.	Patients treated with subthalamic nucleus and substantia nigra pars reticulata stimulation revealed no ‘global’ effect on axial motor domains.
0	3600293	1207	1227	general stress level	Patients assigned to the Yoga group showed significantly greater improvements on measures of general stress level (P < 0.000), anxiety (P < 0.019), and overall health status (P < 0.018) compared to controls.
0	3600293	1241	1248	anxiety	Patients assigned to the Yoga group showed significantly greater improvements on measures of general stress level (P < 0.000), anxiety (P < 0.019), and overall health status (P < 0.018) compared to controls.
0	3600293	1266	1287	overall health status	Patients assigned to the Yoga group showed significantly greater improvements on measures of general stress level (P < 0.000), anxiety (P < 0.019), and overall health status (P < 0.018) compared to controls.
0	3620921	1055	1062	success	Results Intention to treat comparison of a single dimeticone liquid gel treatment with two of permethrin gave success for 30/43 (69.8%) of the dimeticone liquid gel group and 7/47 (14.9%) of the permethrin creme rinse group (OR 13.19, 95% CI 4.69 to 37.07) (p < 0.001).
0	3510714	1342	1349	website	Results Less than 22.0% (694/3156) of the participants logged on to the website once and only 7.0% (222/3159) logged on frequently.
0	3510714	1380	1401	logged on frequently.	Results Less than 22.0% (694/3156) of the participants logged on to the website once and only 7.0% (222/3159) logged on frequently.
0	3510714	1428	1451	physical activity level	We found no difference in physical activity level between the website and control groups at 3- and 6-month follow-ups.
0	3510714	1647	1687	total and leisure-time physical activity	By dividing participants into three groups according to use of the intervention website, we found a significant difference in total and leisure-time physical activity in the website group.
0	3510714	1779	1909	body mass index, waist circumference, body fat percentage, and blood pressure, or improvements in arm strength and aerobic fitness	The follow-up health examination showed no significant reductions in body mass index, waist circumference, body fat percentage, and blood pressure, or improvements in arm strength and aerobic fitness in the website group.  
0	4937081	558	610	Adverse events (Adverse events) and discontinuations	Results Adverse events (Adverse events) and discontinuations owing to Adverse events were more common in older vs. younger patients, and were more frequent with dapagliflozin than placebo (Adverse events: <65 years: 73.1 vs. 70.7 %; ≥65 years: 77.4 vs. 73.1 %; ≥75 years: 80.4 vs. 75.3 %, respectively; discontinuations: <65 years: 5.9 vs. 5.0 %; ≥65 years: 14.4 vs. 12.2 %; ≥75 years: 26.8 vs. 22.1 %, respectively); serious AE (serious AE) frequency was similar (<65 years: 11.0 vs. 11.8 %; ≥65 years: 20.0 vs. 20.2 %; ≥75 years: 19.6 vs. 18.2 %, respectively).
0	4937081	620	634	Adverse events	Results Adverse events (Adverse events) and discontinuations owing to Adverse events were more common in older vs. younger patients, and were more frequent with dapagliflozin than placebo (Adverse events: <65 years: 73.1 vs. 70.7 %; ≥65 years: 77.4 vs. 73.1 %; ≥75 years: 80.4 vs. 75.3 %, respectively; discontinuations: <65 years: 5.9 vs. 5.0 %; ≥65 years: 14.4 vs. 12.2 %; ≥75 years: 26.8 vs. 22.1 %, respectively); serious AE (serious AE) frequency was similar (<65 years: 11.0 vs. 11.8 %; ≥65 years: 20.0 vs. 20.2 %; ≥75 years: 19.6 vs. 18.2 %, respectively).
0	4937081	968	1001	serious AE (serious AE) frequency	Results Adverse events (Adverse events) and discontinuations owing to Adverse events were more common in older vs. younger patients, and were more frequent with dapagliflozin than placebo (Adverse events: <65 years: 73.1 vs. 70.7 %; ≥65 years: 77.4 vs. 73.1 %; ≥75 years: 80.4 vs. 75.3 %, respectively; discontinuations: <65 years: 5.9 vs. 5.0 %; ≥65 years: 14.4 vs. 12.2 %; ≥75 years: 26.8 vs. 22.1 %, respectively); serious AE (serious AE) frequency was similar (<65 years: 11.0 vs. 11.8 %; ≥65 years: 20.0 vs. 20.2 %; ≥75 years: 19.6 vs. 18.2 %, respectively).
0	4937081	1114	1137	Hypoglycaemia frequency	Hypoglycaemia frequency was similar across age groups and was higher with dapagliflozin than placebo (<65 years: 18.0 vs. 13.4 %; ≥65 years: 20.2 vs. 17.7 %; ≥75 years: 17.5 vs. 16.9 %, respectively); major episodes were rare.
0	4937081	1341	1374	Urinary tract infection frequency	Urinary tract infection frequency was similar between treatment groups in older patients, with no increase vs. younger patients (<65 years: 8.8 vs. 5.5 %; ≥65 years: 8.1 vs. 7.6 %; ≥75 years: 8.2 vs. 9.1 %, respectively); urinary tract infection serious AEs were rare.
0	4937081	1560	1598	); urinary tract infection serious AEs	Urinary tract infection frequency was similar between treatment groups in older patients, with no increase vs. younger patients (<65 years: 8.8 vs. 5.5 %; ≥65 years: 8.1 vs. 7.6 %; ≥75 years: 8.2 vs. 9.1 %, respectively); urinary tract infection serious AEs were rare.
