ID,Label,Selected Reasoning,Group Name,Selected Text,Start,End,Valid Prompt,Additional Comments
75558.0,TRUE,Hard: Intervention is implied ,1.0,Forty premenopausal patients with advanced breast cancer entered a prospective and randomized study in which high-dose medroxyprogesterone acetate (HD MAP) and oophorectomy (OPX) were compared,132.0,324.0,True,
75558.0,TRUE,Hard: Intervention is implied ,1.0,No difference was observed between the two groups in terms of overall survival,1388.0,1466.0,True,
172037.0,TRUE,Super Easy: Strings in same sentence,1.0,"When the comparison was made with IFNalpha therapy, a policy of standard alloBMT, including early transplantation, was found to increase survival only in those patients who were younger or at intermediate or high risk",1832.0,2049.0,True,
172037.0,TRUE,Super Easy: Strings in same sentence,2.0,"Among low-risk patients, 10-year survival rates with standard alloBMT versus IFNalpha therapy versus CHT were 57% v 49% (P =.76) v 25% (P =.001), respectively, and among patients at higher risk, rates were 54% v 17% (P =.01) v 12% (P =. 001)",1008.0,1249.0,True,
172037.0,TRUE,Super Easy: Strings in same sentence,3.0,"Among patients < or = 32 years old, the 10-year survival rates were 65% v 35% (P =.05) v 24% (P =.001), respectively, but for patients older than 32 years, 10-year survival rates were 46% for standard alloBMT versus 31% for IFNalpha therapy (P =.62) versus 16% for conventional CHT (P =.05)",1251.0,1541.0,True,
29521.0,FALSE,No: Both groups had the drug ,1.0,"In the current phase 2, randomized, double-blind, placebo-controlled study, patients with clear cell RCC previously treated with 1 prior angiogenesis inhibitor were randomized 1:1 to receive axitinib plus dalantercept versus axitinib plus placebo",438.0,684.0,True,
29521.0,FALSE,No: Both groups had the drug ,1.0,The primary endpoint was progression-free survival (PFS),745.0,801.0,True,
29521.0,FALSE,No: Both groups had the drug ,2.0,"Secondary endpoints were PFS in patients with ≥2 prior lines of anticancer therapy, overall survival, and the objective response rate",803.0,936.0,True,
29521.0,FALSE,No: Both groups had the drug ,2.0,"The objective response rate was 19.0% (11 of 58 patients; 95% CI, 9.9%-31.4%) in the dalantercept plus axitinib group and 24.6% (15 of 61 patients; 95% CI, 14.5%-37.3%) in the placebo plus axitinib group",1399.0,1602.0,True,
432822.0,TRUE,Super Easy: Strings in same sentence,1.0,The primary endpoint was disease-free survival,1300.0,1346.0,True,
432822.0,TRUE,Super Easy: Strings in same sentence,1.0,"Patients were randomly assigned (1:1) to receive standard adjuvant systemic therapy alone (control group) or with zoledronic acid every 3-4 weeks for six doses, then every 3-6 months until the end of 5 years",876.0,1083.0,True,
432822.0,TRUE,Super Easy: Strings in same sentence,2.0,"Additionally, among 121 patients not postmenopausal at randomisation with MAF-positive tumours, zoledronic acid was associated with lower invasive-disease-free survival (HR 2·47, 95% CI 1·23-4·97) and overall survival (2·27, 95% CI 1·04-4·93) than control treatment",2798.0,3063.0,True,
432822.0,TRUE,Super Easy: Strings in same sentence,3.0,"In patients with MAF-negative tumours, zoledronic acid was associated with higher invasive-disease-free survival than was control treatment (HR 0·74, 95% CI 0·56-0·98), but not in patients who had MAF-positive tumours",2579.0,2796.0,True,
432822.0,TRUE,Super Easy: Strings in same sentence,4.0,"MAF status was not prognostic for invasive-disease-free survival in the control group (MAF-positive vs MAF-negative: hazard ratio [HR] 0·92, 95% CI 0·59-1·41), but was in the zoledronic acid group (0·52, 0·36-0·75)",2363.0,2577.0,True,
361520.0,,,,,,,False,
322622.0,,,,,,,False,
113188.0,,,,,,,False,
38314.0,,,,,,,False,
82023.0,TRUE,Medium: CoRef (1 other snippet),1.0,"From January 1985 to September 1988, 60 women with advanced breast cancer were randomized in two arms to receive: A) tamoxifen (TAM) (20 mg/die) until progression or B) TAM (20 mg/die for 14 days) then medroxyprogesterone acetate (MPA) (1500 mg/die p.o. for 14 days) followed by 7 days of wash-out before repeating the TAM/MPA treatment",145.0,481.0,True,
82023.0,TRUE,Medium: CoRef (1 other snippet),1.0,Overall survival has not yet been reached in group A while it was 34 months for patients of group B,1142.0,1241.0,True,
82023.0,TRUE,Medium: CoRef (1 other snippet),1.0,results indicating better overall survival and time to progression were not obtained with alternate sequential TAM-MPA therapy,1758.0,1884.0,True,
253732.0,,,,,,,False,
363190.0,,,,,,,False,
351572.0,,,,,,,False,
389428.0,,,,,,,False,
201096.0,TRUE,Medium: CoRef (1 other snippet),1.0,The primary endpoint was death,566.0,596.0,True,
201096.0,TRUE,Medium: CoRef (1 other snippet),1.0,We report a randomized prospective pilot Phase III trial of DTIC +IFN-alpha in patients with metastatic melanoma,452.0,564.0,True,
201096.0,TRUE,Medium: CoRef (1 other snippet),2.0,median survival for patients receiving DTIC was 7.2 months (95% confidence interval (CI) 4.4-9.0); it was 4.8 months for DTIC + IFN-alpha (95% CI 2.0-8.0),923.0,1077.0,True,
201096.0,TRUE,Medium: CoRef (1 other snippet),3.0,The 6-month survival of those patients randomized to DTIC alone was 58% compared with 40% for those patients randomized to DTIC + IFN-alpha,1226.0,1365.0,True,
201096.0,TRUE,Medium: CoRef (1 other snippet),3.0,"There was no significant difference in survival between the two treatment arms (chi2 unadjusted = 0.15, P = 0.70; chi2 adjusted = 0.01, P = 0.91)",1079.0,1224.0,True,
468457.0,TRUE,Easy: Strings are paraphrased,2.0,"We started a controlled clinical trial to assess if interferon alpha 2b could improve outcome, measured with event free survival (EFS) and overall survival (OS) in patients with FL in complete remission after chemotherapy based anthracyclines and adjuvant radiotherapy to sites of initial bulky disease",181.0,483.0,True,
468457.0,TRUE,Easy: Strings are paraphrased,3.0,"were randomized to received Interferon alpha 2b, three times a week for 1 year or no treatment (control group)",705.0,815.0,True,
468457.0,TRUE,Easy: Strings are paraphrased,3.0,actuarial curves showed that EFS was 64% (95% confidence interval (CI) 56-71%) in patients treated with interferon that was statistically significant to patients in the control group: 35% (95% CI: 28-43%) (p<.01),870.0,1082.0,True,
468457.0,TRUE,Easy: Strings are paraphrased,3.0,OS was also statistically significant: 81% in patients treated with interferon (95% CI: 74-93%) and 57% (95% CI: 50-63%) in the control group (p<.001),1084.0,1234.0,True,
576901.0,TRUE,Super Easy: Strings in same sentence,1.0,"In this multicenter, randomized, open-label study, patients with non-small-cell lung cancer (stage IIIB), hormone-refractory prostate cancer, or locally advanced pancreatic cancer were randomly assigned to nadroparin or to no nadroparin in addition to their standard anticancer treatment",424.0,711.0,True,
576901.0,TRUE,Super Easy: Strings in same sentence,1.0,"Outcomes were overall survival, time to progression, and major bleeding",990.0,1061.0,True,
